key,label,frequency
asa,1,3
manggung,1,1
kk,1,1
princess,1,1
prince,1,1
waaahhh,1,1
dokter,1,2
sigit,1,1
best,1,3
humble,1,1
orgnya,1,1
recomend,1,1
ashanti,1,3
bain,1,2
mskipun,1,2
bkn,1,2
ank,1,2
kndung,1,1
smua,1,1
orng,1,1
hak,1,3
mrugikan,1,1
ornglain,1,1
aurel,1,13
cantiiik,1,1
sambung,1,2
sellu,1,1
plingbdpan,1,1
mmbela,1,1
azriel,1,2
pra,1,1
hatters,1,1
ashanty,1,1
segitu,1,2
bidadari,1,1
tv,1,23
tiri,1,3
trdpan,1,1
yh,1,2
mngalahin,1,1
sndri,1,1
cma,1,1
diam,1,1
ajj,1,1
bt,1,1
pa,1,1
slah,1,1
pd,1,1
dya,1,2
jga,1,1
cipta,1,2
sgla,1,1
nyinyiir,1,1
mslh,1,1
pnampilan,1,1
brarti,1,1
dh,1,1
tuuh,1,1
bsa,1,1
baek,1,1
bgs,1,1
nyinyiiir,1,1
awat,1,2
paksa,1,1
cm,1,1
kuping,1,1
tente,1,1
nampak,1,1
putib,1,1
suntik,1,1
ra,1,1
astagfirullah,1,1
ngomongnya,1,1
caper,1,1
sia,1,1
perempuan,1,3
pipi,1,1
mimi,1,1
ny,1,1
strong,1,1
nyinyir,1,1
iri,1,1
ash,1,1
lebay,1,1
km,1,1
bayangin,1,1
managernya,1,1
amiiii,1,1
banggeett,1,1
loh,1,4
gadis,1,1
aammiinnn,1,1
dadddd,1,1
dateng,1,1
papa,1,3
saksi,1,3
ayah,1,3
lekas,1,1
temu,1,4
sj,1,2
alas,1,2
larang,1,1
sibapak,1,1
berrti,1,1
cerita,1,8
yea,1,1
polisi,1,2
hahahaha,1,2
belok,1,1
sim,1,1
nembak,1,1
gatau,1,2
rambu,1,1
surat,1,1
perintah,1,1
yaelah,1,1
lu,1,3
pikir,1,4
geledah,1,1
baguass,1,1
kelak,1,2
kluarga,1,1
abbey,1,1
ketemu,1,1
artika,1,1
sari,1,1
disesemall,1,1
jakarta,1,1
ampunnn,1,1
ayunee,1,1
semampai,1,1
murah,1,11
senyummm,1,1
pis,1,1
yess,1,2
buah,1,2
jatuh,1,2
pohon,1,1
darah,1,1
seni,1,1
titip,1,1
indah,1,3
rezeki,1,1
berlimpaah,1,1
rejekinya,1,1
pria,1,1
keras,1,2
nafkah,1,2
milih,1,2
nganggur,1,1
ketimbang,1,1
ojol,1,1
diselingkuhin,1,1
tanggung,1,3
otomatis,1,1
dgn,1,8
komunikasi,1,3
rejeki,1,5
kenan,1,1
banting,1,1
tulang,1,1
duduk,1,1
bangku,1,1
empuk,1,1
pakai,1,28
ac,1,1
rampok,1,1
rakyat,1,2
jelata,1,1
inget,1,1
sy,1,4
gojek,1,4
srg,1,1
nlp,1,1
nanyain,1,1
mkn,1,2
mgkn,1,1
sempet,1,2
hujan,1,2
panas,1,1
penh,1,1
keluh,1,2
keep,1,1
touch,1,1
sibuk,1,1
juang,1,3
ms,1,1
respect,1,1
beneran,1,1
unt,1,1
insyaallah,1,1
akherat,1,1
surga,1,1
profesi,1,1
kau,1,1
juara,1,3
lacar,1,1
rejekimu,1,1
amiiin,1,1
apaoun,1,1
halal,1,1
u,1,1
tuk,1,1
